127.0.0.1 - - [26/Oct/2016:16:25:42 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [26/Oct/2016:16:25:43 +0530] "GET /ShoppingCartFrontEnd/ HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [26/Oct/2016:16:25:49 +0530] "GET /ShoppingCartFrontEnd/home HTTP/1.1" 200 12370
0:0:0:0:0:0:0:1 - - [26/Oct/2016:16:25:49 +0530] "GET /ShoppingCartFrontEnd/resources/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2016:16:25:49 +0530] "GET /ShoppingCartFrontEnd/resources/vendor/font-awesome/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2016:16:25:49 +0530] "GET /ShoppingCartFrontEnd/resources/vendor/magnific-popup/magnific-popup.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2016:16:25:49 +0530] "GET /ShoppingCartFrontEnd/resources/css/creative.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2016:16:25:49 +0530] "GET /ShoppingCartFrontEnd/resources/img/electronicDevices/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2016:16:25:49 +0530] "GET /ShoppingCartFrontEnd/resources/img/electronicDevices/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2016:16:25:49 +0530] "GET /ShoppingCartFrontEnd/resources/img/electronicDevices/4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2016:16:25:49 +0530] "GET /ShoppingCartFrontEnd/resources/img/electronicDevices/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2016:16:25:49 +0530] "GET /ShoppingCartFrontEnd/resources/vendor/jquery/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2016:16:25:49 +0530] "GET /ShoppingCartFrontEnd/resources/vendor/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2016:16:25:49 +0530] "GET /ShoppingCartFrontEnd/resources/vendor/magnific-popup/jquery.magnific-popup.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2016:16:25:49 +0530] "GET /ShoppingCartFrontEnd/resources/vendor/scrollreveal/scrollreveal.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2016:16:25:49 +0530] "GET /ShoppingCartFrontEnd/resources/js/creative.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2016:16:25:50 +0530] "GET /ShoppingCartFrontEnd/resources/vendor/font-awesome/fonts/fontawesome-webfont.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2016:16:25:50 +0530] "GET /ShoppingCartFrontEnd/resources/img/header.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2016:16:25:53 +0530] "GET /ShoppingCartFrontEnd/LoginForm HTTP/1.1" 200 13291
